parola,doc_freq_umano,doc_freq_macchina,delta
saying,0.024324324324324326,0.00950950950950951,-0.014814814814814815
eventually,0.034634634634634634,0.01981981981981982,-0.014814814814814815
major,0.02872872872872873,0.013913913913913913,-0.014814814814814815
name,0.03543543543543543,0.02062062062062062,-0.014814814814814812
below,0.022622622622622622,0.007907907907907907,-0.014714714714714715
paid,0.04244244244244244,0.027827827827827827,-0.014614614614614614
looks,0.026426426426426425,0.011911911911911911,-0.014514514514514514
takes,0.046546546546546545,0.03213213213213213,-0.014414414414414413
care,0.04024024024024024,0.025925925925925925,-0.014314314314314316
month,0.024924924924924926,0.01071071071071071,-0.014214214214214215
suggest,0.02192192192192192,0.007707707707707708,-0.014214214214214213
single,0.04034034034034034,0.026326326326326328,-0.014014014014014014
early,0.02972972972972973,0.015815815815815815,-0.013913913913913917
word,0.024624624624624624,0.01091091091091091,-0.013713713713713714
must,0.04504504504504504,0.031331331331331334,-0.013713713713713709
lost,0.023423423423423424,0.00990990990990991,-0.013513513513513514
talking,0.02072072072072072,0.007607607607607607,-0.013113113113113114
exist,0.02192192192192192,0.00880880880880881,-0.013113113113113112
expect,0.02062062062062062,0.007607607607607607,-0.013013013013013013
similar,0.055055055055055056,0.04224224224224224,-0.012812812812812817
basic,0.02882882882882883,0.016116116116116116,-0.012712712712712713
looking,0.03873873873873874,0.026126126126126126,-0.012612612612612612
anyone,0.026026026026026026,0.013513513513513514,-0.012512512512512512
them,0.25015015015015013,0.23763763763763765,-0.01251251251251248
close,0.03743743743743744,0.025125125125125124,-0.012312312312312314
slightly,0.024624624624624624,0.012312312312312312,-0.012312312312312312
extra,0.02892892892892893,0.016816816816816817,-0.012112112112112113
modern,0.025125125125125124,0.013113113113113114,-0.01201201201201201
spend,0.02242242242242242,0.01041041041041041,-0.01201201201201201
without,0.0917917917917918,0.07997997997997998,-0.011811811811811818
th,0.021721721721721723,0.01001001001001001,-0.011711711711711714
need,0.16016016016016016,0.14854854854854854,-0.011611611611611616
gives,0.03003003003003003,0.018418418418418417,-0.011611611611611613
d,0.02242242242242242,0.010810810810810811,-0.01161161161161161
near,0.022122122122122122,0.01071071071071071,-0.011411411411411412
total,0.03313313313313313,0.02182182182182182,-0.011311311311311311
correct,0.022222222222222223,0.011011011011011011,-0.011211211211211212
head,0.024924924924924926,0.013713713713713714,-0.011211211211211212
american,0.026726726726726727,0.015515515515515516,-0.01121121121121121
easy,0.03793793793793794,0.026926926926926928,-0.011011011011011013
rule,0.022822822822822823,0.011911911911911911,-0.010910910910910912
depends,0.031031031031031032,0.02012012012012012,-0.010910910910910912
wanted,0.02182182182182182,0.011111111111111112,-0.010710710710710709
three,0.032632632632632635,0.022022022022022022,-0.010610610610610614
outside,0.027827827827827827,0.017217217217217216,-0.01061061061061061
local,0.023023023023023025,0.012512512512512513,-0.010510510510510511
today,0.028028028028028028,0.017517517517517518,-0.01051051051051051
list,0.02042042042042042,0.00990990990990991,-0.01051051051051051
there,0.36146146146146146,0.35095095095095097,-0.010510510510510496
across,0.024124124124124124,0.013713713713713714,-0.01041041041041041
cash,0.03803803803803804,0.028028028028028028,-0.010010010010010013
tend,0.026326326326326328,0.016416416416416415,-0.009909909909909913
fast,0.032532532532532535,0.022722722722722723,-0.009809809809809812
standard,0.022022022022022022,0.012212212212212211,-0.00980980980980981
job,0.03073073073073073,0.021021021021021023,-0.009709709709709708
been,0.12642642642642643,0.11691691691691691,-0.009509509509509517
directly,0.034834834834834835,0.025325325325325325,-0.00950950950950951
results,0.02252252252252252,0.013013013013013013,-0.009509509509509509
lose,0.02932932932932933,0.01991991991991992,-0.00940940940940941
run,0.044444444444444446,0.035035035035035036,-0.00940940940940941
points,0.02062062062062062,0.011311311311311311,-0.009309309309309309
write,0.02312312312312312,0.013813813813813814,-0.009309309309309307
running,0.03013013013013013,0.020920920920920922,-0.009209209209209208
